algorithm,server_strategy,round,local_epochs,clients,learning_rate,batch_size,seed,train_loss,test_loss,test_accuracy
fedavg,fedavg,0,1,6,0.02,32,42,,2.9328789893229295,0.1000
fedavg,fedavg,1,1,6,0.02,32,42,2.1933986500345277,2.4322294368865385,0.1082
fedavg,fedavg,2,1,6,0.02,32,42,1.8742526453761714,1.7733287150692787,0.3522
fedavg,fedavg,3,1,6,0.02,32,42,1.684853512412623,1.438166880303887,0.4682
fedavg,fedavg,4,1,6,0.02,32,42,1.5393908681082733,1.3144888217282142,0.5203
fedavg,fedavg,5,1,6,0.02,32,42,1.420092045659139,1.2126677882899144,0.5642
fedavg,fedavg,6,1,6,0.02,32,42,1.308797553714919,1.1103336332709925,0.5980
fedavg,fedavg,7,1,6,0.02,32,42,1.2049575193340796,1.0188719911180484,0.6322
fedavg,fedavg,8,1,6,0.02,32,42,1.1164680323560945,0.9733409687971614,0.6494
fedavg,fedavg,9,1,6,0.02,32,42,1.0383384698412177,0.9309447020482106,0.6716
fedavg,fedavg,10,1,6,0.02,32,42,0.9645754746600502,0.8754940579651268,0.6892
fedavg,fedavg,11,1,6,0.02,32,42,0.8987031896954765,0.8667177770547806,0.6959
fedavg,fedavg,12,1,6,0.02,32,42,0.84450107811087,0.8492601882120606,0.7033
fedavg,fedavg,13,1,6,0.02,32,42,0.7885402701876785,0.8165996389783872,0.7140
fedavg,fedavg,14,1,6,0.02,32,42,0.7387652325460168,0.7996058228668893,0.7247
fedavg,fedavg,15,1,6,0.02,32,42,0.7017522756697955,0.7894860749032088,0.7324
fedavg,fedavg,16,1,6,0.02,32,42,0.6573216006119795,0.8127214320146354,0.7263
fedavg,fedavg,17,1,6,0.02,32,42,0.6225240135120295,0.7776935559928797,0.7395
fedavg,fedavg,18,1,6,0.02,32,42,0.5671558521176343,0.75884113323157,0.7487
fedavg,fedavg,19,1,6,0.02,32,42,0.529204410739609,0.7601611261155196,0.7494
fedavg,fedavg,20,1,6,0.02,32,42,0.4777619973790046,0.7824076820331015,0.7501
