defense_type,clip_norm,noise_std,rounds,local_epochs,learning_rate,batch_size,final_accuracy,final_loss,final_update_norm,final_clipping_scale,decision
clipping_noise,7.5,0.001,20,2,0.03,32,0.8174,0.6189,13.5115,0.5551,moderate_noise
clipping_noise,7.5,0.002,20,2,0.03,32,0.8300,0.5823,13.8130,0.5430,stronger_noise_selected
