round,train_loss,test_loss,test_accuracy
0,,2.9328789893229295,0.1000
1,2.3756468004808164,2.316312419381111,0.0930
2,2.311068518065567,2.296870981811718,0.1062
3,2.292033300452712,2.2837175472526794,0.1236
4,2.2796388816652287,2.272745155225134,0.1367
5,2.2692554567723198,2.262928107741532,0.1471
