algorithm,server_strategy,round,local_epochs,clients,learning_rate,batch_size,seed,train_loss,test_loss,test_accuracy
fedavg,fedavg,0,2,6,0.02,32,42,,2.9328789893229295,0.1000
fedavg,fedavg,1,2,6,0.02,32,42,1.978980683030462,2.3893543185701795,0.1081
fedavg,fedavg,2,2,6,0.02,32,42,1.7046803297591995,1.7095805839368492,0.3667
fedavg,fedavg,3,2,6,0.02,32,42,1.448038801395297,1.1969924815900765,0.5656
fedavg,fedavg,4,2,6,0.02,32,42,1.2359290960311085,1.050304761737775,0.6223
fedavg,fedavg,5,2,6,0.02,32,42,1.0768621553786983,0.9542604745573299,0.6658
fedavg,fedavg,6,2,6,0.02,32,42,0.9549433643385529,0.8256074509043603,0.7108
fedavg,fedavg,7,2,6,0.02,32,42,0.8525030150739581,0.7291513077772347,0.7468
fedavg,fedavg,8,2,6,0.02,32,42,0.7695276647685529,0.6872719203590587,0.7653
fedavg,fedavg,9,2,6,0.02,32,42,0.7029597852127467,0.6515667812459788,0.7791
fedavg,fedavg,10,2,6,0.02,32,42,0.6431095901797605,0.6237177144569955,0.7928
fedavg,fedavg,11,2,6,0.02,32,42,0.5937232283647369,0.6001357724712153,0.8022
fedavg,fedavg,12,2,6,0.02,32,42,0.5479955695289422,0.5721284016302437,0.8127
fedavg,fedavg,13,2,6,0.02,32,42,0.5089132668296947,0.5436595414474512,0.8212
fedavg,fedavg,14,2,6,0.02,32,42,0.4721981686151184,0.5475943158766267,0.8241
fedavg,fedavg,15,2,6,0.02,32,42,0.43343930537779063,0.5521942589693009,0.8231
fedavg,fedavg,16,2,6,0.02,32,42,0.39971681053307484,0.5883286939874576,0.8173
fedavg,fedavg,17,2,6,0.02,32,42,0.37256488656365433,0.5160436473644463,0.8324
fedavg,fedavg,18,2,6,0.02,32,42,0.3437916357858476,0.5920886509357743,0.8227
fedavg,fedavg,19,2,6,0.02,32,42,0.31646503723693753,0.513699752889621,0.8382
fedavg,fedavg,20,2,6,0.02,32,42,0.2908200569452332,0.5394873992083179,0.8330
