batch_size,sample_start,sample_indices,label_names,final_psnr,best_update_psnr,best_oracle_psnr,best_update_loss,elapsed_seconds,inferred_label
1,0,0,airplane,35.14103262525736,34.979488054840616,36.04462166295478,0.004273176193237305,62.29392957687378,airplane
1,8,8,deer,28.828643194661495,29.270108372855645,29.889397649154827,0.006085455417633057,65.61825251579285,deer
1,16,16,dog,30.38968168387015,30.659330537323815,30.68985046635109,0.004573822021484375,66.73671531677246,dog
1,24,24,automobile,19.204022465458713,18.674835112859057,19.200693444588385,0.008317768573760986,63.910810470581055,automobile
1,32,32,horse,22.375193956604832,22.24525016088046,22.362031610874638,0.005653500556945801,68.03208637237549,horse
2,0,0 1,airplane frog,14.433989881470573,14.264565510956285,14.429892875423322,0.024707913398742676,65.24739575386047,
2,8,8 9,deer automobile,16.434821713128823,16.112594378865218,16.432324686190825,0.013608932495117188,63.412938594818115,
2,16,16 17,dog dog,11.444773286925617,11.551338843687589,12.20814606749199,0.008244931697845459,70.37197923660278,
2,24,24 25,automobile bird,17.59229646108067,17.545332992733922,17.588114127520303,0.01479947566986084,69.20138835906982,
2,32,32 33,horse frog,10.217717467888573,10.216042600319248,10.221036797309111,0.023495376110076904,66.79315662384033,
4,0,0 1 2 3,airplane frog airplane bird,11.816374447846238,11.802954858346206,11.817245158722084,0.01791238784790039,67.08636379241943,
4,8,8 9 10 11,deer automobile dog frog,13.061074807746639,13.0572203117742,13.060282948142872,0.018066883087158203,67.56682205200195,
4,16,16 17 18 19,dog dog ship automobile,12.346345645956356,12.004775608229206,12.345229427399534,0.016716480255126953,70.12028193473816,
4,24,24 25 26 27,automobile bird ship truck,13.134887897400962,13.132878092484948,13.132878092484948,0.02252185344696045,66.10371041297913,
4,32,32 33 34 35,horse frog ship ship,11.032680232922976,11.034581775596326,11.04893503750652,0.023403465747833252,67.18774104118347,
8,0,0 1 2 3 4 5 6 7,airplane frog airplane bird horse bird automobile bird,10.595409192740346,10.595652654838293,10.609251397977209,0.011204123497009277,68.97401881217957,
8,8,8 9 10 11 12 13 14 15,deer automobile dog frog frog cat automobile cat,10.607935124867325,10.607407015427361,10.669564797195248,0.026107490062713623,71.63546109199524,
8,16,16 17 18 19 20 21 22 23,dog dog ship automobile deer bird cat bird,10.59917027501256,10.56322416252305,10.59795694225651,0.010172426700592041,69.96117448806763,
8,24,24 25 26 27 28 29 30 31,automobile bird ship truck dog airplane horse frog,10.889582913751353,10.883691516354572,10.960453623979776,0.023029088973999023,71.21669292449951,
8,32,32 33 34 35 36 37 38 39,horse frog ship ship horse deer truck automobile,10.838531267802063,10.81721499200083,10.847784628544883,0.01395106315612793,68.88876819610596,
