seed,sample,label,iterations,attack_lr,tv_weight,true_loss,best_update_psnr,best_oracle_psnr,final_psnr,elapsed_seconds
42,0,airplane,5000,0.03,0.000001,,17.16,17.47,17.42,176.86
7,0,airplane,5000,0.03,0.000001,2.0130114555358887,15.465140630134949,16.073294944115258,16.070061842380223,190.34938192367554
123,0,airplane,5000,0.03,0.000001,1.9487155675888062,16.483467235930856,16.52814519039795,16.484177146376236,182.51995539665222
999,0,airplane,5000,0.03,0.000001,2.4882168769836426,16.3660876763949,16.82285424375614,16.816277833112864,178.15710425376892
