experiment,sample,label,iterations,attack_lr,tv_weight,best_update_psnr,best_oracle_psnr,final_psnr,elapsed_seconds,interpretation
baseline_sample0_iter2000,0,airplane,2000,0.03,0.000001,17.39,17.40,17.40,70.76,baseline best case
sample0_iter5000_lr003_tv1e-6,0,airplane,5000,0.03,0.000001,17.16,17.47,17.42,176.86,marginal improvement over 2000 iterations
sample3_iter5000_lr003_tv1e-6,3,bird,5000,0.03,0.000001,10.35,11.00,11.00,183.11,small improvement but still weak reconstruction
sample0_iter5000_lr001_tv1e-6,0,airplane,5000,0.01,0.000001,16.36,16.73,16.70,185.29,lower attack learning rate worsens reconstruction
sample0_iter5000_lr003_tv1e-7,0,airplane,5000,0.03,0.0000001,17.28,17.29,17.29,179.47,lower TV weight does not improve reconstruction
