config,sample,seed,true_label,inferred_label,label_ok,observed_defense,clip_norm,noise_std,raw_update_norm,defended_update_norm,clipping_scale,best_update_psnr,best_oracle_psnr,final_psnr,best_update_loss,elapsed_seconds
none,0,0,airplane,airplane,True,none,0.0,0.0,0.5900161862373352,0.5900161862373352,1.0,34.12581698562215,34.66057261501777,32.58258291455196,0.008008718490600586,62.66849112510681
none,0,1,airplane,airplane,True,none,0.0,0.0,0.6203755736351013,0.6203755736351013,1.0,32.91440612992262,34.05770128642974,33.12124212512211,0.007639765739440918,61.974374532699585
none,0,2,airplane,airplane,True,none,0.0,0.0,0.7333249449729919,0.7333249449729919,1.0,33.40693375811371,33.86380996326323,32.16499931488807,0.007929205894470215,62.83156228065491
none,0,3,airplane,airplane,True,none,0.0,0.0,0.681309163570404,0.681309163570404,1.0,34.53382507204332,35.252185029677655,34.76699995183661,0.004603266716003418,62.95409631729126
none,0,4,airplane,airplane,True,none,0.0,0.0,0.6565471887588501,0.6565471887588501,1.0,31.224203802881377,32.654318874480744,32.347882182522284,0.008593440055847168,63.18209981918335
none,1,0,frog,frog,True,none,0.0,0.0,1.6055335998535156,1.6055335998535156,1.0,25.840379965308607,26.090279229543505,25.946331558005838,0.006912171840667725,62.289172410964966
none,1,1,frog,frog,True,none,0.0,0.0,1.326802134513855,1.326802134513855,1.0,25.081935411968132,25.24737368432667,25.259110175945956,0.007039010524749756,62.60216450691223
none,1,2,frog,frog,True,none,0.0,0.0,1.0096315145492554,1.0096315145492554,1.0,20.143298023562775,20.26469162289731,20.271885706908016,0.015697956085205078,62.651891469955444
none,1,3,frog,frog,True,none,0.0,0.0,1.0744167566299438,1.0744167566299438,1.0,24.025138522065916,24.10121154707084,23.565350541058415,0.008852541446685791,62.97479224205017
none,1,4,frog,frog,True,none,0.0,0.0,1.3156986236572266,1.3156986236572266,1.0,18.548598895927984,18.556613595690937,18.563558306498912,0.021639704704284668,62.61703157424927
none,2,0,airplane,airplane,True,none,0.0,0.0,1.0929840803146362,1.0929840803146362,1.0,29.47882519105853,29.517047357182562,28.83484703171508,0.00664675235748291,62.86068511009216
none,2,1,airplane,airplane,True,none,0.0,0.0,0.9747052788734436,0.9747052788734436,1.0,29.30548670294479,30.053161553280695,30.02651815140913,0.007183969020843506,62.8549268245697
none,2,2,airplane,airplane,True,none,0.0,0.0,1.3073557615280151,1.3073557615280151,1.0,29.41718258080057,29.659916739960813,28.964154849635776,0.0063359737396240234,63.15892434120178
none,2,3,airplane,airplane,True,none,0.0,0.0,1.1145613193511963,1.1145613193511963,1.0,32.32708963715708,34.19771469486705,33.022830034079156,0.003909051418304443,63.02593970298767
none,2,4,airplane,airplane,True,none,0.0,0.0,1.0306471586227417,1.0306471586227417,1.0,27.528480212067524,27.712004461730263,26.81595479205297,0.011566400527954102,63.01817607879639
none,3,0,bird,bird,True,none,0.0,0.0,1.6725579500198364,1.6725579500198364,1.0,16.1564181833003,16.954683285957557,16.965018970212316,0.01598745584487915,62.973044872283936
none,3,1,bird,bird,True,none,0.0,0.0,1.382431983947754,1.382431983947754,1.0,14.424628152186326,14.432525163062753,14.406513892957694,0.01984691619873047,63.199519872665405
none,3,2,bird,bird,True,none,0.0,0.0,1.4435371160507202,1.4435371160507202,1.0,17.251261932332113,17.297638324901467,17.303456437912786,0.022247672080993652,63.5896852016449
none,3,3,bird,bird,True,none,0.0,0.0,1.2348558902740479,1.2348558902740479,1.0,13.536067444559542,14.055249756054494,14.055604564880435,0.021021246910095215,62.983548402786255
none,3,4,bird,bird,True,none,0.0,0.0,1.5004359483718872,1.5004359483718872,1.0,24.654501795991624,24.86106941927773,24.822844563271367,0.007898151874542236,62.800466537475586
none,4,0,horse,horse,True,none,0.0,0.0,1.3326616287231445,1.3326616287231445,1.0,29.517932294045902,30.629390890033076,30.65310394284601,0.0038851499557495117,63.150654554367065
none,4,1,horse,horse,True,none,0.0,0.0,1.0790021419525146,1.0790021419525146,1.0,25.179654528848452,25.232786075761602,25.25196349405098,0.0077874064445495605,63.4536452293396
none,4,2,horse,horse,True,none,0.0,0.0,1.3345271348953247,1.3345271348953247,1.0,27.01403293859581,27.50196811430733,27.51933431116474,0.00694119930267334,63.515204429626465
none,4,3,horse,horse,True,none,0.0,0.0,1.2916351556777954,1.2916351556777954,1.0,29.33078448072795,29.5742255575038,29.309936821067538,0.0042493343353271484,62.90291237831116
none,4,4,horse,horse,True,none,0.0,0.0,1.0613605976104736,1.0613605976104736,1.0,18.270986406431916,18.329831160779822,18.333836710196124,0.019361019134521484,63.21338176727295
noise_s0002,0,0,airplane,airplane,True,noise,0.0,0.002,0.5900161862373352,6.709765911102295,1.0,14.239267197100144,14.402628636421767,14.049776531867877,0.9150546789169312,62.90770626068115
noise_s0002,0,1,airplane,airplane,True,noise,0.0,0.002,0.6203756332397461,6.712686538696289,1.0,14.510771428469493,14.65409216460268,14.425043143478566,0.9098886251449585,63.334619998931885
noise_s0002,0,2,airplane,airplane,True,noise,0.0,0.002,0.7333249449729919,6.723641872406006,1.0,14.804048073950753,14.941143406146447,14.669397111549149,0.894879162311554,63.011112689971924
noise_s0002,0,3,airplane,airplane,True,noise,0.0,0.002,0.681309163570404,6.718591690063477,1.0,15.274383679369707,15.363742518466637,15.053010751122697,0.9006428718566895,63.007203340530396
noise_s0002,0,4,airplane,airplane,True,noise,0.0,0.002,0.6565471887588501,6.715968132019043,1.0,14.18494586349152,14.579504732690861,14.329987281009132,0.9057173728942871,62.88225746154785
noise_s0002,1,0,frog,frog,True,noise,0.0,0.002,1.605533480644226,6.873524188995361,1.0,12.826835526512872,13.646149733540053,13.630796125670921,0.772750973701477,62.811795711517334
noise_s0002,1,1,frog,frog,True,noise,0.0,0.002,1.3268016576766968,6.814190864562988,1.0,11.581432053024477,11.625852679434885,11.581849351221283,0.8110283613204956,62.82855176925659
noise_s0002,1,2,frog,frog,True,noise,0.0,0.002,1.0096315145492554,6.759340763092041,1.0,11.333443386631963,11.510629375450513,11.511429891965667,0.8564229011535645,63.6318678855896
noise_s0002,1,3,frog,frog,True,noise,0.0,0.002,1.0744168758392334,6.769543647766113,1.0,11.241052149740106,11.356849950185559,11.328307928761772,0.8452373743057251,63.20752429962158
noise_s0002,1,4,frog,frog,True,noise,0.0,0.002,1.315698266029358,6.812368392944336,1.0,12.18695941164755,12.189592187438718,12.188697903655202,0.8137969374656677,62.74750256538391
noise_s0002,2,0,airplane,airplane,True,noise,0.0,0.002,1.0929840803146362,6.772857189178467,1.0,11.768997277324246,12.020402180944089,11.90739504595378,0.8434844613075256,63.947492361068726
