experiment,optimizer,seed,init_image,iterations,attack_lr,lambda_param,lambda_bn_mean,lambda_bn_var,bn_loss,true_param_cosine_loss,true_bn_mean_cosine_loss,true_bn_var_cosine_loss,observed_param_norm,observed_bn_mean_norm,observed_bn_var_norm,best_loss,best_loss_iteration,best_loss_psnr,best_oracle_iteration,best_oracle_psnr,final_psnr,elapsed_seconds,output_dir
fedavg_round1_client0_bnaware_iter200_test_seed42,adam,42,,200,0.03,1.0,1.0,1.0,cosine,0.0038247108459472656,2.384185791015625e-07,2.5033950805664062e-06,0.5495175123214722,4.317107200622559,3.3586366176605225,0.6387817859649658,194,10.055476933048888,1,10.179700955377823,10.055579515149569,29.570953130722046,results/reconstructions/real_updates_bn_aware/fedavg_round1_client0_bnaware_iter200_test_seed42
fedavg_round1_client0_bnaware_param5_mean1_var01_iter500_seed42,adam,42,,500,0.03,5.0,1.0,0.1,cosine,0.0038247108459472656,2.384185791015625e-07,2.5033950805664062e-06,0.5495175123214722,4.317107200622559,3.3586366176605225,2.102055549621582,467,9.759481211749444,1,10.179613610001416,9.751725610804359,68.50251460075378,results/reconstructions/real_updates_bn_aware/fedavg_round1_client0_bnaware_param5_mean1_var01_iter500_seed42
fedavg_round1_client0_bnaware_warmstart_controlled_eval_iter500_seed42,adam,42,results/reconstructions/ablation/controlled_samebatch_eval_cosine_oldparams_seed42/reconstructed_final.png,500,0.005,1.0,1.0,1.0,cosine,0.0038245320320129395,2.384185791015625e-07,2.5033950805664062e-06,0.5495175123214722,4.317107200622559,3.3586366176605225,0.3991791307926178,239,25.601342157487494,15,26.024105737964298,25.03168559595815,68.37400937080383,results/reconstructions/real_updates_bn_aware/fedavg_round1_client0_bnaware_warmstart_controlled_eval_iter500_seed42
fedavg_round1_client0_bnaware_lbfgs_iter150_seed42,lbfgs,42,,150,1.0,1.0,1.0,1.0,cosine,0.0038245320320129395,2.384185791015625e-07,2.5033950805664062e-06,0.5495175123214722,4.317107200622559,3.3586366176605225,0.710831344127655,88,10.098539365060846,1,10.18180958085648,10.098539365060846,180.6088263988495,results/reconstructions/real_updates_bn_aware/fedavg_round1_client0_bnaware_lbfgs_iter150_seed42
multistart_seed123_iter500,adam,123,,500,0.03,1.0,1.0,1.0,cosine,0.003824770450592041,2.384185791015625e-07,2.5033950805664062e-06,0.5495175123214722,4.317107200622559,3.3586366176605225,0.6193554997444153,495,10.052798857376475,1,10.303315593561939,10.051428350404226,67.61303424835205,results/reconstructions/real_updates_bn_aware/multistart_seed123_iter500
multistart_seed1_iter500,adam,1,,500,0.03,1.0,1.0,1.0,cosine,0.003824591636657715,2.384185791015625e-07,2.5033950805664062e-06,0.5495175123214722,4.317107200622559,3.3586366176605225,0.6126003861427307,492,10.135603607366367,2,10.305788538791663,10.138244060989173,68.33927893638611,results/reconstructions/real_updates_bn_aware/multistart_seed1_iter500
multistart_seed42_iter500,adam,42,,500,0.03,1.0,1.0,1.0,cosine,0.003824770450592041,2.384185791015625e-07,2.5033950805664062e-06,0.5495175123214722,4.317107200622559,3.3586366176605225,0.603096067905426,491,10.095092041676532,1,10.179670940745352,10.095697664533517,69.85988759994507,results/reconstructions/real_updates_bn_aware/multistart_seed42_iter500
multistart_seed7_iter500,adam,7,,500,0.03,1.0,1.0,1.0,cosine,0.003824770450592041,2.384185791015625e-07,2.5033950805664062e-06,0.5495175123214722,4.317107200622559,3.3586366176605225,0.619632363319397,491,10.13933183234431,1,10.279730550790294,10.14559114123184,68.75638699531555,results/reconstructions/real_updates_bn_aware/multistart_seed7_iter500
multistart_seed999_iter500,adam,999,,500,0.03,1.0,1.0,1.0,cosine,0.003824591636657715,2.384185791015625e-07,2.5033950805664062e-06,0.5495175123214722,4.317107200622559,3.3586366176605225,0.6112034916877747,494,9.914478993651148,1,10.057267387747517,9.91395680665924,69.01298308372498,results/reconstructions/real_updates_bn_aware/multistart_seed999_iter500
