config,sample,true_label,inferred_label,label_ok,observed_defense,clip_norm,noise_std,raw_update_norm,defended_update_norm,clipping_scale,best_update_psnr,best_oracle_psnr,final_psnr,best_update_loss,elapsed_seconds
none,0,airplane,airplane,True,none,0.0,0.0,0.8124366998672485,0.8124366998672485,1.0,35.26068392020731,35.559237546450085,34.447887851541765,0.004403948783874512,64.26250147819519
none,1,frog,frog,True,none,0.0,0.0,0.8690917491912842,0.8690917491912842,1.0,17.95051122725849,18.02469275927347,18.03239417131233,0.014244616031646729,64.19008898735046
none,2,airplane,airplane,True,none,0.0,0.0,1.3313320875167847,1.3313320875167847,1.0,29.526981116251733,29.628882713122135,28.11638598193952,0.005405724048614502,63.74561309814453
none,3,bird,bird,True,none,0.0,0.0,1.48779296875,1.48779296875,1.0,28.031053341733283,28.031053341733283,28.087070782348412,0.005174160003662109,62.927300453186035
none,4,horse,horse,True,none,0.0,0.0,1.4084246158599854,1.4084246158599854,1.0,23.72562588351865,24.309455488421,24.32481270771143,0.008651316165924072,64.3555679321289
none,5,bird,bird,True,none,0.0,0.0,1.01390540599823,1.01390540599823,1.0,26.09745069545845,27.8641836329915,26.201615561313965,0.006110727787017822,63.85975742340088
none,6,automobile,automobile,True,none,0.0,0.0,1.7273091077804565,1.7273091077804565,1.0,18.960028195833665,19.438795242252404,19.441802222924167,0.010484278202056885,63.59194803237915
none,7,bird,bird,True,none,0.0,0.0,1.3182992935180664,1.3182992935180664,1.0,30.752125103749503,30.922934383500937,30.098603765780865,0.005305886268615723,66.5116913318634
none,8,deer,deer,True,none,0.0,0.0,0.9165483117103577,0.9165483117103577,1.0,28.91099703254575,30.300962191351665,29.642649691600734,0.006001770496368408,66.86786222457886
none,9,automobile,automobile,True,none,0.0,0.0,1.8959622383117676,1.8959622383117676,1.0,24.9843440557232,25.040591492100646,25.04667111142851,0.0059468746185302734,65.50953459739685
clip_c05,0,airplane,airplane,True,clipping,0.5,0.0,0.8124366998672485,0.5,0.61543256241512,35.93394062954927,36.391396868867936,35.012267445928494,0.004416823387145996,64.43026924133301
clip_c05,1,frog,frog,True,clipping,0.5,0.0,0.8690917491912842,0.4999999701976776,0.5753132514083693,15.692091495840925,15.727572024216538,15.7355862032645,0.017667651176452637,63.00078201293945
clip_c05,2,airplane,airplane,True,clipping,0.5,0.0,1.3313319683074951,0.5,0.37556373008549315,28.33877586986638,29.126832314580913,28.937111432273742,0.00527423620223999,63.65898776054382
clip_c05,3,bird,bird,True,clipping,0.5,0.0,1.487793207168579,0.5,0.3360682100109964,28.458598661026898,28.64047915294926,28.656561003919894,0.004957020282745361,63.31483864784241
clip_c05,4,horse,horse,True,clipping,0.5,0.0,1.4084246158599854,0.5,0.3550065756940385,28.724490576412425,30.65124360714328,30.681565780689457,0.004639625549316406,63.23983120918274
clip_c05,5,bird,bird,True,clipping,0.5,0.0,1.0139052867889404,0.5000000596046448,0.4931427092002029,27.72722263186369,28.028420189075053,26.792719137385497,0.00620722770690918,63.04776573181152
clip_c05,6,automobile,automobile,True,clipping,0.5,0.0,1.7273091077804565,0.5,0.28946758732847555,18.8776282828738,19.16872773666717,19.137633259128293,0.009884417057037354,63.47642636299133
clip_c05,7,bird,bird,True,clipping,0.5,0.0,1.3182991743087769,0.4999999701976776,0.3792765782939866,29.963698725569397,30.03904060572946,29.914692419175253,0.005663275718688965,62.922441244125366
clip_c05,8,deer,deer,True,clipping,0.5,0.0,0.9165483713150024,0.5,0.5455249451614734,28.362599407403128,30.822693528945187,30.664970604980514,0.005970954895019531,62.877851486206055
clip_c05,9,automobile,automobile,True,clipping,0.5,0.0,1.8959623575210571,0.4999999701976776,0.26371831593401407,23.69895354598091,24.393615835317743,24.40793297834921,0.006595611572265625,63.203134536743164
clip_c10,0,airplane,airplane,True,clipping,1.0,0.0,0.8124367594718933,0.8124367594718933,1.0,36.44646295443906,36.50129523091045,35.39938901247874,0.003894507884979248,63.369812965393066
clip_c10,1,frog,frog,True,clipping,1.0,0.0,0.869091808795929,0.869091808795929,1.0,16.815808775663776,17.03836356235226,17.04279066005325,0.016326189041137695,63.22098112106323
clip_c10,2,airplane,airplane,True,clipping,1.0,0.0,1.3313320875167847,1.0,0.7511273929140098,28.941508526513022,30.076249242933734,28.142834393676747,0.00490880012512207,63.44995331764221
clip_c10,3,bird,bird,True,clipping,1.0,0.0,1.487793207168579,1.0,0.6721364200219928,27.179655920413822,27.656118650033044,27.663724604082404,0.005447506904602051,63.490373849868774
clip_c10,4,horse,horse,True,clipping,1.0,0.0,1.4084246158599854,1.0,0.710013151388077,27.308744726656357,27.35101940574016,27.349279378649452,0.0063762664794921875,62.83453321456909
clip_c10,5,bird,bird,True,clipping,1.0,0.0,1.0139055252075195,1.0,0.9862851864766593,29.408268549142157,29.560438126767995,26.830477952018484,0.0051236748695373535,62.952717304229736
clip_c10,6,automobile,automobile,True,clipping,1.0,0.0,1.7273091077804565,0.9999998807907104,0.5789351746569511,18.459239984204306,19.24110657159463,19.243509038801545,0.010776698589324951,62.76842379570007
clip_c10,7,bird,bird,True,clipping,1.0,0.0,1.3182992935180664,1.0,0.7585530879946095,30.16406239142317,30.284773314671924,29.189601397683475,0.006024360656738281,63.289998292922974
clip_c10,8,deer,deer,True,clipping,1.0,0.0,0.9165483713150024,0.9165483713150024,1.0,30.09265698638878,30.145366542856074,29.6969981301936,0.005849301815032959,63.28212904930115
