sample,label,inferred_label,matching_loss,iterations,attack_lr,tv_weight,best_update_psnr,best_oracle_psnr,final_psnr,elapsed_seconds
0,airplane,airplane,cosine,2000,0.03,0.000001,35.485611352377106,35.963168455566105,34.103066209576596,63.99014735221863
1,frog,frog,cosine,2000,0.03,0.000001,17.23602797284693,17.68254743745451,17.684804872167867,65.14643907546997
2,airplane,airplane,cosine,2000,0.03,0.000001,28.777950476358463,29.13497932607641,27.627201936459862,66.606520652771
3,bird,bird,cosine,2000,0.03,0.000001,29.76253497751765,29.9918114746132,29.976464475653422,62.29289507865906
4,horse,horse,cosine,2000,0.03,0.000001,23.459301150792193,24.156074623794744,24.182351957205235,63.407177686691284
